"Perioden";"Regio's";"Totaal (km2)";"Verkeersterrein/Spoorterrein (km2)";"Verkeersterrein/Wegverkeersterrein (km2)";"Verkeersterrein/Vliegveld (km2)";"Bebouwd terrein/Woonterrein (km2)";"Bebouwd terrein/Bedrijventerreinen (km2)";"Bebouwd terrein/Sociaal-culturele voorzieningen (km2)";"Semi-bebouwd terrein/Delfstofwinplaats (km2)";"Semi-bebouwd terrein/Bouwterrein (km2)";"Semi-bebouwd terrein/Overige semi-bebouwde terreinen (km2)";"Recreatieterrein/Park en plantsoen (km2)";"Recreatieterrein/Sportterrein (km2)";"Recreatieterrein/Overige recreatieterreinen (km2)";"Agrarisch terrein/Terrein voor glastuinbouw (km2)";"Agrarisch terrein/Overig agrarisch terrein (km2)";"Bos en open natuurlijk terrein/Bos (km2)";"Bos en open natuurlijk terrein/Open natuurlijke terreinen (km2)";"Water/Binnenwater (km2)";"Water/Buitenwater (km2)"
"1971";"Flevoland (PV)";"    1079";"";"      11";"";"       .";"       1";"       .";"       .";"      19";"       .";"       1";"       .";"       .";"       .";"     431";"      64";"     425";"     119";""
"1972";"Flevoland (PV)";"    1079";"";"      13";"";"       .";"       1";"       .";"       .";"      19";"       .";"       1";"       .";"       .";"       .";"     507";"      64";"     345";"     120";""
"1973";"Flevoland (PV)";"    1061";"";"      11";"       0";"       .";"       1";"       .";"       .";"      15";"       .";"       1";"       1";"       .";"       .";"     539";"      74";"     300";"     100";""
"1974";"Flevoland (PV)";"    1142";"";"      13";"       2";"       .";"       1";"       .";"       .";"      16";"       .";"       1";"       1";"       .";"       .";"     550";"      72";"     266";"     191";""
"1975";"Flevoland (PV)";"    1142";"";"       9";"       2";"       .";"       1";"       .";"       .";"      19";"       .";"       2";"       1";"       .";"       .";"     574";"      79";"     235";"     191";""
"1976";"Flevoland (PV)";"    1143";"";"      20";"       1";"       .";"       1";"       .";"       .";"      15";"       .";"       2";"       1";"       .";"       .";"     599";"      85";"     196";"     191";""
"1977";"Flevoland (PV)";"    1134";"       0";"      28";"       0";"       7";"       5";"       0";"       0";"      27";"       2";"       2";"       1";"       9";"       0";"     608";"      97";"     167";"     180";""
"1978";"Flevoland (PV)";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";""
"1979";"Flevoland (PV)";"    1135";"       0";"      28";"       2";"       9";"       8";"       0";"       0";"      30";"       6";"       1";"       2";"      10";"       0";"     623";"     107";"     129";"     180";""
"1980";"Flevoland (PV)";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";""
"1981";"Flevoland (PV)";"    1136";"       0";"      34";"       2";"      14";"      10";"       1";"       0";"      31";"       5";"       4";"       2";"      12";"       0";"     641";"     111";"      82";"     187";""
"1982";"Flevoland (PV)";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";""
"1983";"Flevoland (PV)";"    1136";"       0";"      37";"       2";"      15";"      10";"       1";"       0";"      29";"       5";"       4";"       2";"      13";"       0";"     639";"     111";"      81";"     187";""
"1984";"Flevoland (PV)";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";""
"1985";"Flevoland (PV)";"    1131";"       1";"      36";"       0";"      18";"      11";"       1";"       0";"      21";"       6";"       5";"       3";"      13";"       0";"     656";"     118";"      49";"     193";""
"1986";"Flevoland (PV)";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";""
"1987";"Flevoland (PV)";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";""
"1988";"Flevoland (PV)";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";""
"1989";"Flevoland (PV)";"    1637";"       2";"      48";"       0";"      30";"      16";"       2";"       0";"      19";"       8";"       7";"       7";"      14";"       1";"    1058";"     150";"      63";"     213";""
"1990";"Flevoland (PV)";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";""
"1991";"Flevoland (PV)";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";""
"1992";"Flevoland (PV)";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";""
"1993";"Flevoland (PV)";"    1931";"       2";"      47";"       1";"      35";"      15";"       3";"       1";"      21";"       4";"       7";"       7";"      16";"       1";"    1060";"     154";"      50";"     509";""
"1994";"Flevoland (PV)";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";""
"1995";"Flevoland (PV)";"    1931";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";""
"1996";"Flevoland (PV)";"    2412";"       1";"      33";"       0";"      40";"      15";"       3";"       0";"      18";"       5";"      10";"       9";"      16";"       2";"    1046";"     174";"      47";"     993";""
"1997";"Flevoland (PV)";"    2412";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";""
"1998";"Flevoland (PV)";"    2412";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";""
"1999";"Flevoland (PV)";"    2412";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";""
"2000";"Flevoland (PV)";"    2412";"       1";"      33";"       0";"      47";"      18";"       3";"       0";"      21";"       6";"      12";"      10";"      16";"       3";"    1026";"     177";"      48";"     993";""
"2001";"Flevoland (PV)";"    2412";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";""
"2002";"Flevoland (PV)";"    2412";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";""
"2003";"Flevoland (PV)";"    2412";"       1";"      33";"       1";"      49";"      22";"       3";"       0";"      25";"       6";"      13";"      10";"      17";"       3";"    1006";"     179";"      50";"     995";""
"2004";"Flevoland (PV)";"    2412";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";""
"2005";"Flevoland (PV)";"    2412";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";""
"2006";"Flevoland (PV)";"    2412";"       1";"      32";"       1";"      52";"      23";"       3";"       0";"      23";"       6";"      14";"      11";"      17";"       3";"    1002";"     177";"      49";"     996";""
"2007";"Flevoland (PV)";"    2412";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";""
"2008";"Flevoland (PV)";"    2412";"       1";"      32";"       1";"      53";"      25";"       4";"       0";"      26";"       6";"      15";"      12";"      17";"       4";"     992";"     177";"      50";"     997";""
"2009";"Flevoland (PV)";"    2412";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";""
"2010";"Flevoland (PV)";"    2412";"       1";"      32";"       1";"      53";"      27";"       4";"       0";"      23";"       5";"      15";"      13";"      17";"       5";"     985";"     177";"      57";"     999";""
"2011";"Flevoland (PV)";"    2412";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";""
"2012";"Flevoland (PV)";"    2412";"       2";"      31";"       0";"      55";"      28";"       4";"       0";"      21";"       5";"      16";"      13";"      18";"       5";"     983";"     175";"      56";"    1000";""
"2013";"Flevoland (PV)";"    2412";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";""
"2014";"Flevoland (PV)";"    2412";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";"       .";""
"2015";"Flevoland (PV)";"    2412";"       2";"      31";"       1";"      56";"      28";"       4";"       0";"      20";"       5";"      17";"      13";"      18";"       5";"     980";"     170";"      60";"    1001";""
"1950";"Gelderland (PV)";"    5051";"      22";"     111";"      16";"       .";"       .";"       .";"       .";"       .";"       .";"       5";"       .";"       .";"       .";"    3434";"     766";"     408";"      72";""
"1951";"Gelderland (PV)";"    5076";"      22";"     112";"      16";"       .";"       .";"       .";"       .";"       .";"       .";"       5";"       .";"       .";"       .";"    3435";"     766";"     406";"      81";""
"1952";"Gelderland (PV)";"    5094";"      22";"     111";"      16";"       .";"       .";"       .";"       .";"       .";"       .";"       5";"       .";"       .";"       .";"    3440";"     770";"     405";"      88";""
"1953";"Gelderland (PV)";"    5115";"      22";"     114";"      16";"       .";"       .";"       .";"       .";"       .";"       .";"       9";"       .";"       .";"       .";"    3454";"     768";"     405";"      83";""
"1954";"Gelderland (PV)";"    5115";"      22";"     115";"      16";"       .";"       .";"       .";"       .";"       .";"       .";"       9";"       .";"       .";"       .";"    3454";"     768";"     402";"      83";""
"1955";"Gelderland (PV)";"    5115";"      22";"     115";"      13";"       .";"       .";"       .";"       .";"       1";"       .";"       9";"       .";"       .";"       .";"    3452";"     770";"     400";"      84";""
"1956";"Gelderland (PV)";"    5134";"      22";"     117";"      13";"       .";"       .";"       .";"       .";"       1";"       .";"       9";"       .";"       .";"       .";"    3459";"     776";"     399";"      84";""
"1957";"Gelderland (PV)";"    5132";"      22";"     120";"      13";"       .";"       .";"       .";"       .";"       1";"       .";"       9";"       .";"       .";"       .";"    3451";"     777";"     396";"      85";""
